1	2	139	91
1	6	286	97
2	1	105	95
2	3	141	82
2	7	153	92
3	2	355	85
3	4	418	95
3	8	292	97
4	3	178	93
4	5	145	83
4	9	195	85
5	4	144	99
5	10	113	87
6	1	130	80
6	7	485	85
6	11	314	98
7	2	257	88
7	6	445	93
7	8	427	84
7	12	226	85
8	3	352	81
8	7	160	96
8	9	286	96
8	13	284	88
9	4	197	87
9	8	388	98
9	10	212	84
9	14	421	97
10	5	271	100
10	9	285	83
10	15	219	99
11	6	416	94
11	12	155	88
11	16	400	86
12	7	306	96
12	11	303	83
12	13	379	98
12	17	453	85
13	8	235	93
13	12	270	86
13	14	303	93
13	18	384	94
14	9	267	82
14	13	385	96
14	15	441	91
14	19	153	88
15	10	380	92
15	14	322	98
15	20	252	83
16	11	335	82
16	17	475	88
16	21	259	94
17	12	185	96
17	16	197	94
17	18	284	80
17	22	284	94
18	13	230	86
18	17	492	100
18	19	294	100
18	23	299	94
19	14	145	82
19	18	454	89
19	20	399	98
19	24	172	88
20	15	408	100
20	19	247	89
20	25	387	81
21	16	99	92
21	22	273	98
22	17	330	92
22	21	187	92
22	23	134	92
23	18	377	96
23	22	206	94
23	24	377	99
24	19	472	97
24	23	281	97
24	25	406	92
25	20	464	89
25	24	212	95
