1	18	127	1850
18	1	127	1850
1	64	57	27297
64	1	57	27297
1	71	98	13949
71	1	98	13949
1	77	87	8528
77	1	87	8528
1	79	56	13940
79	1	56	13940
2	19	103	44602
19	2	103	44602
2	27	57	5690
27	2	57	5690
2	43	198	18845
43	2	198	18845
2	65	180	69813
65	2	180	69813
2	70	197	12618
70	2	197	12618
3	9	169	71594
9	3	169	71594
3	17	100	35460
17	3	100	35460
3	19	148	190825
19	3	148	190825
3	23	172	10250
23	3	172	10250
3	50	165	73805
50	3	165	73805
3	73	158	3466
73	3	158	3466
4	26	165	14549
26	4	165	14549
4	40	54	1970
40	4	54	1970
4	46	62	43441
46	4	62	43441
4	55	130	22997
55	4	130	22997
4	68	140	40456
68	4	140	40456
5	12	88	23965
12	5	88	23965
5	36	93	33332
36	5	93	33332
5	41	182	11002
41	5	182	11002
5	57	80	4625
57	5	80	4625
5	64	179	26269
64	5	179	26269
5	75	145	20453
75	5	145	20453
5	79	192	19058
79	5	192	19058
6	14	129	13313
14	6	129	13313
6	25	110	10706
25	6	110	10706
6	30	126	10865
30	6	126	10865
6	44	131	13220
44	6	131	13220
6	62	127	8585
62	6	127	8585
7	10	76	214730
10	7	76	214730
7	29	163	6833
29	7	163	6833
7	33	164	12506
33	7	164	12506
7	48	140	25562
48	7	140	25562
7	53	158	450
53	7	158	450
7	72	84	89297
72	7	84	89297
8	48	82	3329
48	8	82	3329
8	72	164	17620
72	8	164	17620
8	74	110	4673
74	8	110	4673
9	23	138	32724
23	9	138	32724
9	34	184	23629
34	9	184	23629
9	55	134	14500
55	9	134	14500
9	73	197	44356
73	9	197	44356
9	75	98	17972
75	9	98	17972
10	15	191	14645
15	10	191	14645
10	43	131	30685
43	10	131	30685
10	65	59	15877
65	10	59	15877
10	72	104	34969
72	10	104	34969
10	78	131	8730
78	10	131	8730
11	13	84	3077
13	11	84	3077
11	38	138	13234
38	11	138	13234
11	41	64	16466
41	11	64	16466
11	55	80	3485
55	11	80	3485
11	75	75	18329
75	11	75	18329
12	21	63	2048
21	12	63	2048
12	36	52	31601
36	12	52	31601
12	61	131	11197
61	12	131	11197
12	64	104	1970
64	12	104	1970
13	38	183	6245
38	13	183	6245
13	40	75	4765
40	13	75	4765
13	55	178	10656
55	13	178	10656
14	18	84	16900
18	14	84	16900
14	44	56	6165
44	14	56	6165
14	60	84	18450
60	14	84	18450
14	62	153	32042
62	14	153	32042
14	74	181	32912
74	14	181	32912
14	77	80	6890
77	14	80	6890
15	65	151	34
65	15	151	34
15	78	157	7853
78	15	157	7853
16	17	116	2152
17	16	116	2152
16	34	67	353
34	16	67	353
16	36	164	929
36	16	164	929
17	23	179	11570
23	17	179	11570
17	34	117	3445
34	17	117	3445
17	36	187	4645
36	17	187	4645
17	50	167	9605
50	17	167	9605
17	61	92	10573
61	17	92	10573
18	27	48	19796
27	18	48	19796
18	43	66	30073
43	18	66	30073
18	60	89	17410
60	18	89	17410
18	71	58	20313
71	18	58	20313
18	77	129	12610
77	18	129	12610
19	45	88	3872
45	19	88	3872
19	49	156	5410
49	19	156	5410
19	50	67	32740
50	19	67	32740
19	70	82	16840
70	19	82	16840
20	26	84	3730
26	20	84	3730
20	37	111	15986
37	20	111	15986
20	38	98	2425
38	20	98	2425
20	41	145	10529
41	20	145	10529
20	47	68	20410
47	20	68	20410
20	58	50	1184
58	20	50	1184
20	80	83	8784
80	20	83	8784
21	49	142	3313
49	21	142	3313
21	50	165	16913
50	21	165	16913
21	61	105	15613
61	21	105	15613
21	64	120	1970
64	21	120	1970
22	29	72	21445
29	22	72	21445
22	32	151	20722
32	22	151	20722
22	33	92	7712
33	22	92	7712
22	51	84	41296
51	22	84	41296
22	59	88	22745
59	22	88	22745
22	62	148	8906
62	22	148	8906
23	34	163	11281
34	23	163	11281
23	73	167	2056
73	23	167	2056
24	28	108	2353
28	24	108	2353
24	37	167	4586
37	24	167	4586
24	80	87	1156
80	24	87	1156
25	30	125	8109
30	25	125	8109
25	35	143	2785
35	25	143	2785
25	37	185	5960
