1	8	7
1	85	11
1	107	4
1	198	2
1	277	11
1	347	9
1	376	2
1	388	9
1	513	15
1	520	15
1	751	10
1	763	9
1	815	6
1	820	4
1	861	5
1	907	4
1	931	2
1	956	3
1	987	15
2	23	7
2	119	3
2	147	5
2	161	8
2	215	13
2	233	7
2	266	8
2	302	15
2	439	10
2	516	10
2	645	7
2	753	2
2	810	13
2	851	11
2	906	5
2	950	5
2	966	3
3	59	3
3	135	8
3	155	12
3	171	2
3	173	3
3	235	9
3	268	13
3	269	15
3	305	6
3	341	11
3	374	9
3	398	12
3	399	2
3	427	13
3	466	15
3	468	9
3	487	15
3	516	8
3	522	7
3	545	5
3	640	8
3	662	9
3	712	4
3	792	15
3	828	11
3	863	8
3	939	13
3	978	3
3	988	7
3	995	8
4	53	10
4	103	10
4	244	3
4	265	13
4	337	14
4	382	5
4	423	13
4	491	8
4	532	2
4	551	15
4	556	2
4	574	15
4	698	13
4	704	15
4	711	10
4	802	11
4	822	2
4	837	12
4	838	8
4	847	12
4	869	8
4	938	12
4	956	7
5	115	2
5	264	5
5	339	5
5	352	5
5	411	15
5	491	5
5	571	7
5	593	12
5	658	3
5	702	5
5	737	15
5	791	15
5	973	14
6	50	11
6	51	14
6	59	13
6	157	11
6	203	6
6	316	14
6	317	13
6	324	3
6	343	4
6	447	9
6	475	10
6	591	2
6	598	14
6	693	14
6	718	2
6	772	8
6	779	12
6	884	2
6	896	3
6	953	12
6	975	15
7	70	12
7	142	15
7	189	4
7	228	5
7	260	9
7	269	11
7	298	5
7	397	14
7	417	3
7	496	8
7	498	7
7	529	15
7	600	11
7	639	10
7	654	15
7	667	7
7	718	10
7	727	11
7	785	5
7	812	5
7	865	13
7	927	4
7	931	12
8	32	7
8	70	7
8	139	10
8	306	9
8	349	3
8	356	7
8	378	9
8	381	4
8	407	7
8	449	2
8	459	11
8	569	2
8	646	4
8	691	14
8	737	3
8	817	8
9	26	12
9	64	12
9	152	6
9	209	13
9	426	11
9	427	11
9	514	8
9	517	15
9	527	2
9	567	10
9	594	11
9	600	9
9	604	11
9	658	14
9	721	14
9	724	10
9	756	12
9	855	4
9	872	10
9	891	13
9	896	9
9	992	13
9	997	6
10	1	9
10	90	5
10	228	15
10	263	11
10	276	12
10	280	11
10	307	13
10	316	6
10	345	8
10	365	5
10	491	3
10	552	11
10	593	9
10	620	9
10	639	14
10	642	4
10	662	13
10	695	3
10	715	8
10	889	4
10	950	6
10	990	5
11	89	15
11	127	2
11	157	5
11	167	11
11	188	13
11	199	12
11	262	8
11	313	5
11	364	5
11	377	8
11	562	14
11	626	15
11	810	14
11	848	10
11	888	15
11	939	4
12	5	13
12	103	6
12	180	4
12	194	15
12	247	6
12	259	4
12	330	15
12	333	2
12	383	12
12	397	14
12	514	11
12	562	10
12	729	11
12	823	12
12	929	15
13	23	12
13	136	12
13	139	8
13	179	9
13	232	2
13	264	2
13	299	15
13	337	13
13	371	12
13	387	2
13	411	13
13	470	5
13	482	3
13	490	8
13	624	5
13	661	4
13	712	11
13	739	9
13	765	13
13	772	6
13	828	3
13	919	6
13	945	4
14	6	11
14	50	14
14	101	3
14	188	5
14	213	13
14	230	3
14	350	8
14	518	2
14	569	3
14	645	14
14	801	11
14	819	6
14	830	9
14	839	5
14	915	13
14	952	5
15	12	2
15	141	10
15	263	8
15	298	5
15	310	10
15	315	5
15	373	2
15	381	15
15	405	10
15	515	11
15	563	2
15	600	15
15	757	9
15	804	4
15	806	2
15	818	6
15	952	11
16	160	5
16	227	11
16	253	12
16	285	14
16	323	14
16	513	3
16	618	14
16	628	6
16	629	7
16	649	7
16	668	12
16	682	9
16	787	10
16	926	5
16	937	14
16	990	15
17	132	14
17	134	14
17	148	12
17	170	12
17	199	2
17	255	10
17	265	2
17	377	2
17	402	9
17	457	9
17	505	6
17	508	8
17	539	13
17	543	6
17	553	12
17	635	6
17	706	10
17	730	2
17	763	12
17	765	13
17	766	4
17	820	13
17	851	8
17	946	8
18	40	12
18	108	12
18	250	7
18	266	10
18	346	10
18	356	7
18	377	6
18	404	3
18	420	13
18	424	14
18	430	5
18	477	3
18	487	8
18	504	5
18	560	13
18	563	4
18	571	11
18	640	4
18	694	5
18	704	15
18	805	14
18	920	6
18	933	8
18	948	13
18	961	13
19	26	10
19	243	11
19	321	6
19	376	13
19	418	7
19	580	5
19	653	10
19	729	5
19	734	11
19	931	11
19	995	14
20	7	4
20	54	7
20	62	4
20	98	5
20	135	14
20	166	3
20	267	15
20	286	2
20	352	11
20	392	9
20	451	6
20	501	5
20	505	10
20	516	2
20	569	2
20	627	2
20	670	14
20	904	9
20	975	12
21	22	5
21	24	7
21	54	6
21	94	11
21	162	4
21	223	8
21	319	12
21	399	13
21	405	4
21	424	2
21	530	2
21	534	12
21	553	7
21	574	8
21	599	2
21	627	6
21	693	8
21	727	12
21	751	9
21	800	12
21	814	4
21	883	9
21	886	11
22	7	13
22	14	5
22	21	15
22	31	7
22	108	5
22	132	12
22	208	3
22	212	11
22	260	7
22	517	9
22	544	10
22	559	10
22	666	2
22	679	2
22	750	14
22	811	12
22	829	15
22	833	10
22	865	3
22	867	8
22	892	6
22	998	5
23	26	11
23	28	15
23	64	6
23	181	5
23	185	15
23	192	10
23	205	11
23	212	7
23	268	14
23	279	9
23	340	8
23	606	4
23	630	13
23	632	12
23	728	13
23	739	11
23	940	2
24	44	5
24	52	8
24	94	12
24	100	8
24	113	12
24	120	10
24	125	7
24	222	2
24	375	5
24	424	6
24	425	10
24	429	10
24	475	10
24	483	11
24	540	9
24	572	7
24	724	2
24	773	15
24	850	7
24	869	15
24	893	5
24	966	5
24	971	12
24	978	12
24	995	15
25	57	5
25	107	7
25	161	2
25	165	3
25	237	10
25	259	6
25	266	10
25	322	9
25	357	3
25	385	13
25	393	6
25	493	11
25	580	6
25	731	7
25	765	4
25	876	4
25	925	15
25	926	7
26	7	7
26	78	6
26	94	11
26	106	12
26	113	10
26	118	4
26	133	2
26	271	8
26	386	3
26	450	7
26	737	12
26	814	12
26	966	12
27	4	6
27	76	6
27	89	10
27	100	7
27	151	12
27	208	12
27	231	10
27	308	4
27	416	8
27	498	8
27	499	9
27	590	9
27	611	5
27	616	3
27	636	6
27	717	8
27	754	10
27	841	12
28	53	7
28	90	4
28	121	14
28	129	12
28	131	10
28	170	9
28	174	6
28	232	6
28	244	11
28	280	13
28	286	6
28	290	11
28	295	5
28	376	12
28	395	10
28	439	5
28	459	2
28	531	10
28	534	14
28	539	11
28	603	7
28	608	6
28	658	8
28	683	11
28	748	12
28	772	9
28	840	11
29	82	10
29	131	12
29	165	3
29	255	5
29	288	6
29	314	7
29	361	12
29	362	5
29	412	5
29	423	4
29	426	14
29	440	15
29	508	3
29	544	7
29	607	8
29	610	10
29	751	8
30	3	9
30	58	2
30	75	10
30	134	9
30	147	7
30	236	14
30	269	6
30	284	14
30	291	7
30	307	11
30	391	10
30	493	14
30	567	5
30	800	8
30	861	8
30	862	14
30	895	8
30	910	12
30	947	6
30	997	14
31	18	13
31	41	7
31	79	2
31	97	3
31	121	5
31	161	8
31	162	3
31	166	11
31	196	2
31	218	13
31	402	9
31	665	11
31	736	2
31	793	12
31	856	3
31	926	6
32	43	11
32	46	8
32	193	3
32	215	11
32	278	14
32	281	6
32	288	13
32	297	5
32	309	5
32	310	2
32	401	7
32	480	3
32	557	3
32	650	11
32	673	11
32	695	5
32	868	11
32	944	3
32	948	11
32	950	10
32	975	6
33	31	2
33	150	8
33	154	15
33	266	7
33	273	14
33	314	11
33	357	3
33	500	13
33	550	12
33	670	12
33	780	15
33	788	15
33	800	2
33	804	14
33	829	10
33	834	11
33	846	15
33	882	8
33	925	15
33	972	3
33	991	13
34	21	13
34	32	12
34	58	14
34	61	4
34	72	3
34	113	13
34	251	15
34	271	14
34	365	5
34	420	5
34	488	13
34	510	10
34	524	11
34	566	5
34	593	13
34	618	6
34	787	11
34	803	15
34	857	10
34	865	11
34	953	11
34	966	11
